  twr  spd range consumption   wt thr  ct fuel fr  gen_b gen_s 
 16.3 1463  2019          39  526  84  99   80 16      1     0
 19.6 1766  1953          40  544 105  79   80 20      1     0
 22.8 2049  1890          42  563 126  66   80 24      1     0
 25.7 2315  1830          43  581 147  56   80 28      1     0
 17.3 1555  1230          65  865 147  56   80 28      1     0
 13.7 1236  3911          81 1089 147 227  320 28      1     0
 14.7 1327  3148          76 1015 147 170  240 28      1     0
 12.5 1121  2641          90 1201 147 169  240 28      3     0
  9.5  855  1987         120 1574 147 167  240 28      7     0
  8.1  724  1683         142 1858 147 167  240 28      7     0
  6.2  557  1267         189 2418 147 163  240 28     13     0
  4.9  438   974         246 3070 147 160  240 28     20     0
  4.8  432   890         269 3111 147 148  240 28      0    44
